"time","Wheel_Fz"
0.000000,3943.046090
0.005000,3939.918050
0.010000,3954.792050
0.015000,3985.833160
0.020000,3985.638030
0.025000,3982.055080
0.030000,3991.691700
0.035000,4023.852400
0.040000,4041.485900
0.045000,3998.337630
0.050000,3903.567500
0.055000,3827.608170
0.060000,3821.966360
0.065000,3851.447000
0.070000,3867.968210
0.075000,3885.688280
0.080000,3889.177550
0.085000,3898.489110
0.090000,3911.983270
0.095000,3918.333110
0.100000,3928.923320
0.105000,3941.550720
0.110000,3938.516650
0.115000,3920.673620
0.120000,3893.981340
0.125000,3889.769920
0.130000,3913.940950
0.135000,3937.288640
0.140000,3949.540370
0.145000,3935.901650
0.150000,3932.715860
0.155000,3943.696230
0.160000,3963.662960
0.165000,3986.172700
0.170000,3992.731900
0.175000,3984.077730
0.180000,3968.315250
0.185000,3952.827160
0.190000,3938.978980
0.195000,3923.635490
0.200000,3910.935820
0.205000,3884.452960
0.210000,3858.685390
0.215000,3858.902080
0.220000,3884.872050
0.225000,3927.550860
0.230000,3977.222300
0.235000,4002.289140
0.240000,4007.945480
0.245000,4013.970160
0.250000,4025.037100
0.255000,4046.333160
0.260000,4080.812840
0.265000,4099.804460
0.270000,4104.008840
0.275000,4106.342080
0.280000,4120.053040
0.285000,4141.284080
0.290000,4167.073320
0.295000,4179.996800
0.300000,4194.184580
0.305000,4194.878080
0.310000,4192.689180
0.315000,4195.253740
0.320000,4199.421840
0.325000,4207.548760
0.330000,4215.249460
0.335000,4220.038860
0.340000,4222.747860
0.345000,4220.277280
0.350000,4229.184340
0.355000,4236.567240
0.360000,4226.930460
0.365000,4214.996620
0.370000,4214.303140
0.375000,4251.506260
0.380000,4283.284020
0.385000,4289.626680
0.390000,4282.438820
0.395000,4262.219240
0.400000,4272.094220
0.405000,4274.246940
0.410000,4277.288300
0.415000,4270.584420
0.420000,4256.584620
0.425000,4249.772460
0.430000,4224.835540
0.435000,4194.878040
0.440000,4165.606920
0.445000,4137.123120
0.450000,4127.652620
0.455000,4107.302820
0.460000,4083.998600
0.465000,4056.482700
0.470000,4013.861820
0.475000,3981.766130
0.480000,3964.197630
0.485000,3947.365980
0.490000,3919.431200
0.495000,3893.027800
0.500000,3889.228120
0.505000,3882.134140
0.510000,3868.141590
0.515000,3844.150950
0.520000,3830.996200
0.525000,3853.541950
0.530000,3890.196070
0.535000,3915.313580
0.540000,3938.632260
0.545000,3931.885090
0.550000,3910.068980
0.555000,3879.627480
0.560000,3865.750390
0.565000,3871.731730
0.570000,3887.559390
0.575000,3896.849220
0.580000,3885.955610
0.585000,3881.642970
0.590000,3889.545970
0.595000,3901.328100
0.600000,3910.394100
0.605000,3911.311540
0.610000,3901.291980
0.615000,3895.108300
0.620000,3887.183680
0.625000,3898.980270
0.630000,3932.477490
0.635000,3961.727050
0.640000,3974.101590
0.645000,4007.743140
0.650000,4029.624300
0.655000,4066.473460
0.660000,4073.487820
0.665000,4076.875820
0.670000,4079.368040
0.675000,4068.525040
0.680000,4065.736560
0.685000,4067.210240
0.690000,4081.412400
0.695000,4101.754960
0.700000,4101.032540
0.705000,4094.957220
0.710000,4086.021320
0.715000,4097.427860
0.720000,4114.115000
0.725000,4131.661880
0.730000,4137.260360
0.735000,4136.667980
0.740000,4145.820600
0.745000,4164.479880
0.750000,4201.119540
0.755000,4246.673400
0.760000,4282.279920
0.765000,4277.757780
0.770000,4239.290640
0.775000,4187.502500
0.780000,4150.848460
0.785000,4135.432720
0.790000,4139.152940
0.795000,4138.943440
0.800000,4120.248080
0.805000,4084.785960
0.810000,4059.885200
0.815000,4065.577760
0.820000,4085.053260
0.825000,4090.088400
0.830000,4159.957820
0.835000,4553.024140
0.840000,4963.362860
0.845000,5148.626760
0.850000,5352.607740
0.855000,5049.695480
0.860000,4686.406100
0.865000,4097.015960
0.870000,3175.832680
0.875000,2936.758010
0.880000,3229.036640
0.885000,3150.563560
0.890000,3621.900760
0.895000,3717.805090
0.900000,3829.016910
0.905000,4115.436960
0.910000,4239.037640
0.915000,4499.018280
0.920000,4607.412900
0.925000,4615.337420
0.930000,4267.536020
0.935000,3359.789050
0.940000,2183.551840
0.945000,2370.860110
0.950000,2698.839190
0.955000,2178.950230
0.960000,2627.864480
0.965000,2205.122380
0.970000,2981.871210
0.975000,4966.490660
0.980000,5481.886420
0.985000,6431.943800
0.990000,6082.408540
0.995000,5648.043260
1.000000,5379.335940
1.005000,4385.473180
1.010000,4239.839640
1.015000,3427.498610
1.020000,3244.156230
1.025000,3124.940370
1.030000,3009.538770
1.035000,3012.803960
1.040000,2985.410960
1.045000,3245.442110
1.050000,3658.822030
1.055000,4017.076460
1.060000,4360.781940
1.065000,4700.521580
1.070000,5053.524200
1.075000,5215.245360
1.080000,5228.118320
1.085000,5076.575620
1.090000,4884.217860
1.095000,4653.934680
1.100000,4384.823120
1.105000,4159.524320
1.110000,3923.570420
1.115000,3691.185090
1.120000,3521.943770
1.125000,3525.685740
1.130000,3646.787040
1.135000,3713.557470
1.140000,3723.685410
1.145000,3803.819950
1.150000,3946.080040
1.155000,4113.594920
1.160000,4156.475920
1.165000,4149.230360
1.170000,4129.321320
1.175000,4074.990420
1.180000,3959.783830
1.185000,3811.173840
1.190000,3759.104070
1.195000,3740.538670
1.200000,3697.180860
1.205000,3663.149080
1.210000,3631.306250
1.215000,3565.402690
1.220000,3565.576050
1.225000,3660.447340
1.230000,3813.218280
1.235000,3929.060600
1.240000,3955.406150
1.245000,3976.550440
1.250000,4008.964060
1.255000,4061.741780
1.260000,4025.109440
1.265000,3949.706410
1.270000,3883.708920
1.275000,3891.286840
1.280000,3902.657300
1.285000,3957.869420
1.290000,3995.411950
1.295000,4036.660320
1.300000,4034.789460
1.305000,4064.356820
1.310000,4103.640320
1.315000,4132.998260
1.320000,4158.404600
1.325000,4190.319720
1.330000,4224.141960
1.335000,4229.227720
1.340000,4253.767220
1.345000,4273.163400
1.350000,4307.057920
1.355000,4319.483000
1.360000,4241.558820
1.365000,4143.183860
1.370000,4090.305020
1.375000,4153.441800
1.380000,4254.598020
1.385000,4301.307640
1.390000,4310.958820
1.395000,4272.383180
1.400000,4280.040500
1.405000,4254.778580
1.410000,4234.847860
1.415000,4204.962640
1.420000,4192.999800
1.425000,4204.298040
1.430000,4174.203320
1.435000,4176.226040
1.440000,4185.154740
1.445000,4212.410380
1.450000,4189.344540
1.455000,4191.273280
1.460000,4215.892400
1.465000,4270.974620
1.470000,4299.523320
1.475000,4340.360040
1.480000,4325.832720
1.485000,4333.071120
1.490000,4303.243700
1.495000,4270.671160
1.500000,4205.092580
1.505000,4182.113400
1.510000,4168.344760
1.515000,4149.345840
1.520000,4104.543380
1.525000,4053.318780
1.530000,4017.011420
1.535000,4004.304560
1.540000,4020.645040
1.545000,4000.439860
1.550000,3958.035590
1.555000,3904.549920
1.560000,3861.582150
1.565000,3817.270900
1.570000,3808.855070
1.575000,3793.872730
1.580000,3729.117800
1.585000,3715.609040
1.590000,3719.546070
1.595000,3700.084850
1.600000,3682.480310
1.605000,3708.175590
1.610000,3708.363480
1.615000,3685.600940
1.620000,3696.610260
1.625000,3711.339650
1.630000,3761.329060
1.635000,3798.914920
1.640000,3808.240980
1.645000,3812.149170
1.650000,3788.490940
1.655000,3833.343950
1.660000,3901.429270
1.665000,3934.182330
1.670000,3894.306510
1.675000,3793.728160
1.680000,3611.910130
1.685000,3487.406310
1.690000,3557.174660
1.695000,3705.806230
1.700000,3821.937460
1.705000,3963.200630
1.710000,4000.627640
1.715000,4131.777420
1.720000,4193.021560
1.725000,4238.792180
1.730000,4213.501240
1.735000,4139.405780
1.740000,4090.341160
1.745000,4059.791300
1.750000,4073.256640
1.755000,4054.055580
1.760000,4027.103220
1.765000,4043.775960
1.770000,4066.112220
1.775000,4090.919060
1.780000,4166.668820
1.785000,4271.660860
1.790000,4367.601280
1.795000,4393.173800
1.800000,4417.402900
1.805000,4412.447280
1.810000,4433.555440
1.815000,4400.535040
1.820000,4383.739480
1.825000,4286.758720
1.830000,4241.060400
1.835000,4186.657260
1.840000,4180.090720
1.845000,4199.039060
1.850000,4225.825240
1.855000,4180.011360
1.860000,3525.425620
1.865000,2401.171560
1.870000,2260.818570
1.875000,2698.911430
1.880000,2187.301030
1.885000,2747.087540
1.890000,3105.789830
1.895000,4477.375540
1.900000,5529.123600
1.905000,5690.967540
1.910000,7370.009160
1.915000,6787.077280
1.920000,5756.705020
1.925000,5458.726640
1.930000,4077.930500
1.935000,3754.849230
1.940000,3095.076850
1.945000,2731.130000
1.950000,3122.448140
1.955000,3161.702810
1.960000,2887.924520
1.965000,2903.824320
1.970000,3448.693490
1.975000,4150.841280
1.980000,4552.930220
1.985000,4864.409900
1.990000,5260.011960
1.995000,5642.386880
2.000000,5761.299220
2.005000,5622.015320
2.010000,5250.425860
2.015000,4976.452540
2.020000,4748.755540
2.025000,4416.283040
2.030000,4264.205760
2.035000,4080.552760
2.040000,3909.534470
2.045000,3813.088270
2.050000,3826.958050
2.055000,3966.595960
2.060000,3986.057040
2.065000,4007.829880
2.070000,4074.441360
2.075000,4242.006720
2.080000,4429.430660
2.085000,4460.254960
2.090000,4448.660640
2.095000,4422.777320
2.100000,4395.767180
2.105000,4332.702640
2.110000,4259.987020
2.115000,4173.589320
2.120000,4087.986100
2.125000,3964.898240
2.130000,3818.722840
2.135000,3625.707760
2.140000,3388.923050
2.145000,3253.742350
2.150000,3466.377620
2.155000,3705.329400
2.160000,3798.748750
2.165000,4002.115820
2.170000,3973.696950
2.175000,4071.270080
2.180000,4053.318640
2.185000,3994.061100
2.190000,3941.059440
2.195000,3858.699910
2.200000,3806.008830
2.205000,3705.408830
2.210000,3562.715390
2.215000,3542.589630
2.220000,3574.446980
2.225000,3592.253870
2.230000,3637.461020
2.235000,3666.407060
2.240000,3697.903290
2.245000,3781.895420
2.250000,3888.686330
2.255000,3943.450570
2.260000,3953.751800
2.265000,3953.188340
2.270000,3968.308000
2.275000,3951.245200
2.280000,3927.933680
2.285000,3918.889310
2.290000,3894.956630
2.295000,3843.847480
2.300000,3817.169770
2.305000,3802.100730
2.310000,3836.204680
2.315000,3883.275640
2.320000,3938.848980
2.325000,3961.322420
2.330000,3981.303790
2.335000,3987.292350
2.340000,4005.908260
2.345000,4019.525380
2.350000,4044.072140
2.355000,4064.306180
2.360000,4048.283600
2.365000,4037.418860
2.370000,3994.581300
2.375000,3897.716020
2.380000,3878.276630
2.385000,4007.952720
2.390000,4081.506360
2.395000,4114.880740
2.400000,4121.331720
2.405000,4067.166960
2.410000,4127.623720
2.415000,4164.703820
2.420000,4201.047280
2.425000,4189.741880
2.430000,4209.347520
2.435000,4223.665380
2.440000,4190.355960
2.445000,4138.943540
2.450000,4125.593760
2.455000,4123.621680
2.460000,4116.224420
2.465000,4066.191680
2.470000,4034.868860
2.475000,4019.005240
2.480000,3996.603980
2.485000,3993.815510
2.490000,4003.408780
2.495000,4039.939980
2.500000,4070.367180
